Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF/50V,C_0603_1608Metric,113.75,-104.2,0.0,top
C10,10nF/50V,C_0603_1608Metric,120.1,-109.275,0.0,top
C11,2u2F/50V,C_0805_2012Metric,138.75,-77.6,180.0,top
C12,100nF/50V,C_0603_1608Metric,103.8,-116.1,90.0,top
C13,2u2F/50V,C_0805_2012Metric,135.1,-86.0,90.0,top
C14,10nF/50V,C_0603_1608Metric,105.35,-116.1,90.0,top
C15,1uF/50V,C_0805_2012Metric,109.35,-108.05,0.0,top
C25,100nF/50V,C_0603_1608Metric,104.375,-130.470002,180.0,top
C26,10nF/50V,C_0603_1608Metric,104.35,-128.870002,180.0,top
C27,100nF/50V,C_0603_1608Metric,73.3,-128.55,180.0,top
C28,1uF/50V,C_0805_2012Metric,83.15,-131.5,0.0,top
C29,1uF/50V,C_0805_2012Metric,82.25,-120.6,90.0,top
C3,2u2F/50V,C_0805_2012Metric,104.15,-127.05,180.0,top
C30,10nF 50V,C_0603_1608Metric,80.4,-120.825,90.0,top
C32,30pF/50V,C_0603_1608Metric,86.37653,-124.149148,-90.0,top
C33,30pF/50V,C_0603_1608Metric,86.37653,-127.349148,90.0,top
C34,100nF/50V,C_0603_1608Metric,77.25,-121.05,90.0,top
C35,100nF/50V,C_0603_1608Metric,69.2,-139.55,90.0,top
C36,100nF/50V,C_0603_1608Metric,82.75153,-129.699148,0.0,top
C37,100nF/50V,C_0603_1608Metric,71.32,-139.55,90.0,top
C38,100nF/50V,C_0603_1608Metric,77.1,-139.55,180.0,top
C4,30pF/50V,C_0603_1608Metric,116.95,-106.55,180.0,top
C41,100nF/50V,C_0603_1608Metric,123.9,-132.25,-90.0,top
C42,10nF/50V,C_0603_1608Metric,122.35,-132.25,-90.0,top
C5,2u2F/50V,C_0805_2012Metric,138.75,-79.7,180.0,top
C6,30pF/50V,C_0603_1608Metric,113.75,-106.5,0.0,top
C63,100nF/50V,C_0603_1608Metric,109.575,-109.9,0.0,top
C64,10nF/50V,C_0603_1608Metric,109.575,-111.45,0.0,top
C69,100nF/50V,C_0603_1608Metric,117.304999,-144.75,90.0,top
C7,100nF/50V,C_0603_1608Metric,125.225,-115.5,-90.0,top
C70,1uF/50V,C_0805_2012Metric,111.3,-136.9,-90.0,top
C71,1uF/50V,C_0805_2012Metric,109.1,-136.9,90.0,top
C72,1uF/50V,C_0805_2012Metric,114.15,-136.95,90.0,top
C73,100nF/50V,C_0603_1608Metric,149.2,-147.123014,0.0,top
C74,1uF/50V,C_0805_2012Metric,117.304999,-140.8,-90.0,top
C79,100nF/50V,C_0603_1608Metric,132.55,-144.6,90.0,top
C8,10nF/50V,C_0603_1608Metric,126.775,-115.5,-90.0,top
C82,2u2F/50V,C_0805_2012Metric,120.25,-132.75,-90.0,top
C9,100nF/50V,C_0603_1608Metric,120.1,-110.825,0.0,top
C95,2u2F/50V,C_0805_2012Metric,128.85,-115.6,-90.0,top
D1,RED,LED_0805,114.95,-133.1,90.0,top
D2,RED,LED_0805,98.679999,-143.3,0.0,top
D6,RED,LED_0805,144.65,-74.925,90.0,top
D65,RED,LED_0805,98.667499,-145.4,0.0,top
FB1,100mR/1A,L_0805_2012Metric,125.25,-91.375,-90.0,top
FB2,450mR/200mA,L_0603_1608Metric,84.15,-133.45,180.0,top
R1,10k,R_0603_1608Metric,126.0,-118.025,0.0,top
R10,49R9,R_0603_1608Metric,75.2,-132.65,0.0,top
R11,49R9,R_0603_1608Metric,79.15,-132.3,180.0,top
R12,49R9,R_0603_1608Metric,79.15,-133.9,180.0,top
R129,2k2,R_0603_1608Metric,122.9,-142.1,90.0,top
R13,33R,R_0603_1608Metric,106.25,-110.4,90.0,top
R130,2k2,R_0603_1608Metric,124.95,-142.1,90.0,top
R14,10k,R_0603_1608Metric,104.7,-110.4,-90.0,top
R15,12k1,R_0603_1608Metric,87.67653,-129.649148,180.0,top
R16,33R,R_0603_1608Metric,100.4,-123.18,180.0,top
R19,33R,R_0603_1608Metric,100.4,-120.02,180.0,top
R2,20k,R_0603_1608Metric,156.05,-111.98,0.0,top
R20,33R,R_0603_1608Metric,100.4,-116.86,180.0,top
R205,22R,R_0603_1608Metric,143.5,-138.085514,90.0,top
R21,10k,R_0603_1608Metric,100.4,-118.44,0.0,top
R22,10k,R_0603_1608Metric,100.4,-121.6,0.0,top
R225,20k,R_0603_1608Metric,105.542499,-137.0,0.0,top
R226,10k,R_0603_1608Metric,100.754999,-139.7875,-90.0,top
R227,10k,R_0603_1608Metric,102.304999,-145.35,180.0,top
R229,1k,R_0603_1608Metric,102.754999,-139.7375,90.0,top
R24,10k,R_0603_1608Metric,77.25,-118.0,-90.0,top
R25,10k,R_0603_1608Metric,100.4,-115.28,0.0,top
R26,1k,R_0603_1608Metric,102.55,-110.35,-90.0,top
R27,10k,R_0603_1608Metric,67.435,-156.02,-90.0,top
R28,10k,R_0603_1608Metric,89.635,-156.22,-90.0,top
R3,10k,R_0603_1608Metric,156.05,-110.16,0.0,top
R4,10k,R_0603_1608Metric,156.89,-123.3,90.0,top
R5,2k2,R_0603_1608Metric,112.95,-132.85,-90.0,top
R6,10k,R_0603_1608Metric,142.55,-75.34,90.0,top
R61,10k,R_0603_1608Metric,89.62,-152.73,90.0,top
R65,10k,R_0603_1608Metric,148.8,-137.110514,90.0,top
R69,22R,R_0603_1608Metric,145.75,-138.085514,90.0,top
R7,1k,R_0603_1608Metric,153.9,-126.11,180.0,top
R70,10k,R_0603_1608Metric,104.754999,-139.7375,90.0,top
R8,10k,R_0603_1608Metric,152.88,-119.39,90.0,top
R9,49R9,R_0603_1608Metric,75.2,-134.25,0.0,top
U11,USBLC6-2SC6,SOT-23-6,144.85,-143.685514,180.0,top
U14,MAX232,SOIC-16_3.9x9.9mm_P1.27mm,111.019999,-142.775,180.0,top
U23,24xx256,SO-8_3.9x4.9mm_P1.27mm,128.8,-142.45,180.0,top
U3,LAN8742A,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,77.67653,-126.249148,90.0,top
U4,USBLC6-4SC6,SOT-23-6,77.2,-136.9875,270.0,top
U5,AMS1117-3.3,SOT-223-3_TabPin2,140.75,-84.7,180.0,top
U6,STM32F407VGTx,LQFP-100_14x14mm_P0.5mm,115.05,-121.85,180.0,top
Y1,25Mhz,Crystal_SMD_5032-2Pin_5.0x3.2mm,83.42653,-125.749148,-90.0,top
Y3,8Mhz,Crystal_SMD_5032-2Pin_5.0x3.2mm,115.35,-109.5,180.0,top
